wavelength,B,G,R
740,0.059501459141923146,0.3429370280081791,0.7174988821842534
741,0.05960361285615411,0.34529384464205254,0.7153273365053435
742,0.059749760738639454,0.3476949886632439,0.7129183446877857
743,0.05994843666086602,0.35013535740088736,0.7102642732952361
744,0.06020817449432062,0.3526307341589102,0.7073903148469187
745,0.06053669403328161,0.3551973421797586,0.7043238699397778
746,0.06093281632223081,0.3578510602978635,0.7010923475332183
747,0.06138987860505161,0.36058516060444523,0.6977336817961665
748,0.06190113762441257,0.3633567098166655,0.6943169028404533
749,0.062459850122982226,0.36611951996315084,0.69091675574158
750,0.06306329836278805,0.36882740307904405,0.6876078934741593
751,0.06372551894153207,0.3714426474850722,0.684444754148741
752,0.06446490665685599,0.37396051926824686,0.6814363304537064
753,0.0652998563161143,0.37638430342043167,0.6785854124402974
754,0.06624869057441309,0.3787172849334902,0.6758947901597546
755,0.0673236130084475,0.38096285645967265,0.673364890809548
756,0.06852613872986238,0.38313233186443996,0.6709833993265076
757,0.06985670671901344,0.3852502263861005,0.6687337244918445
758,0.07131575595625633,0.3873423061090086,0.6665992719494409
759,0.07290531028167037,0.3894343371175187,0.6645634736682821
760,0.07465213000804843,0.39155075283263985,0.6626145696875692
761,0.07660255440349216,0.3936963804741503,0.6607511707155077
762,0.07880345838128545,0.39586112358536846,0.658973237001475
763,0.08130171685471223,0.39803451146889374,0.6572807287948478
764,0.08412175741384346,0.4002060734273255,0.6556733135923933
765,0.08716191479196513,0.4023697659452742,0.654144569027864
766,0.09027652768924972,0.40454333293835165,0.6526823202437954
767,0.09331988926750745,0.40675247310917473,0.6512741671731854
768,0.09623290043462633,0.40902289080496246,0.6499077097490317
769,0.09933888506537691,0.4113802225839014,0.648571846941378
770,0.1030666863650674,0.4138357064054405,0.6472641901833974
771,0.10782739211638137,0.41636844162467285,0.6459859334966884
772,0.113473430313657,0.41895317695089934,0.6447382819387736
773,0.11922318130927137,0.4215646610934211,0.6435224390933497
774,0.12519613736061141,0.4241784869481002,0.6423387987757784
775,0.13267657527459745,0.42678997948109587,0.6411856043429255
776,0.14151465961798498,0.4294143727727789,0.640060746157252
777,0.15053992788801607,0.43206778049974986,0.638962114581219
778,0.16070382830850263,0.4347662877765835,0.637887595003422
779,0.17164191246515553,0.43751858622128853,0.6368349235350275
780,0.18070067651325333,0.44031616015858566,0.6358016645996755
781,0.1894235215710552,0.4431480512484163,0.6347853731376163
782,0.2007834116092138,0.44600335161413324,0.6337836040891002
783,0.21335807312345081,0.44887644293711193,0.6327928647664128
784,0.2252280359232691,0.4517715677433921,0.6318006602930039
785,0.23716935236656142,0.4546940460148947,0.6307899093601531
786,0.24958003498139453,0.45764922633761335,0.6297434941853398
787,0.2622782962307165,0.46064404137489096,0.6286442977655551
788,0.27472257896429597,0.46368780598682174,0.6274792520592446
789,0.28677059989159515,0.46679003163926525,0.6262487752705
790,0.29866730752405496,0.4699593058844982,0.6249560899919353
791,0.3103224966060306,0.47317291296016534,0.6236044188161637
792,0.3222052348186725,0.4763699573629204,0.6221968298366851
793,0.3353544854233241,0.47948722736721733,0.6207291392916178
794,0.3476436687978419,0.48246216424417754,0.6191869513969853
795,0.35826707786404394,0.4852470129396213,0.6175551020039475
796,0.36944383011823706,0.4878087034698215,0.6158184269636638
797,0.3809717692095564,0.49011479512638834,0.6139630169091042
798,0.39198788116599104,0.4921329025324187,0.6119889384790063
799,0.40225052281165447,0.4938436809588639,0.6099049932700402
800,0.41203958525844464,0.4952575525495231,0.6077201163080762
801,0.42204312991693743,0.49638907326404036,0.6054432426189847
802,0.43291312695404754,0.49725279906205955,0.6030760594415867
803,0.4430270919889083,0.4978641730257314,0.6005903017760057
